title,console,genre,publisher,developer
FIFA Soccer 08,PS2,Sports,EA Sports,EA Canada
Spider-Man,PS,Action,Activision,Neversoft Entertainment
Resident Evil 6,PS3,Action,Capcom,Capcom
Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts,EA Canada
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,Ubisoft Paris
Titanfall,XOne,Shooter,Electronic Arts,Respawn Entertainment
NBA 2K13,X360,Sports,2K Sports,Visual Concepts
Mass Effect 2,X360,Role-Playing,Electronic Arts,BioWare Edmonton
Madden NFL 2002,PS2,Sports,EA Sports,EA Sports
Saints Row 2,X360,Action,THQ,Volition Inc.
Borderlands 2,X360,Shooter,2K Games,Gearbox Software
Kung Fu Panda,X360,Platform,Activision,Luxoflux
Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,Kojima Productions
Mass Effect 3,X360,Role-Playing,Electronic Arts,BioWare
Rayman,PS,Platform,Ubisoft,Ubisoft Montpellier
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,Ubisoft
WWE SmackDown! vs. Raw 2006,PS2,Fighting,THQ,Yuke's
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,IO Interactive
WWE SmackDown! vs. RAW 2006,PS2,Fighting,THQ,Yuke's
Madden NFL 13,X360,Sports,EA Sports,EA Tiburon
Doom (2016),PS4,Shooter,Bethesda Softworks,id Software
Mass Effect,X360,Role-Playing,Microsoft Game Studios,BioWare Edmonton
Mortal Kombat (2011),PS3,Fighting,Warner Bros. Interactive Entertainment,NetherRealm Studios
Call of Duty: Finest Hour,PS2,Shooter,Activision,Spark Unlimited
Sega Superstars Tennis,X360,Sports,Sega,Sumo Digital
Colin McRae Rally,PS,Racing,Sony Computer Entertainment,Codemasters
Mafia III,PS4,Action-Adventure,2K Games,Hangar 13
The Elder Scrolls III: Morrowind,XB,Role-Playing,Bethesda Softworks,Bethesda Softworks
Madden NFL 10,X360,Sports,EA Sports,EA Tiburon
BioShock,X360,Shooter,2K Games,2K Australia / 2K Boston
WWE SmackDown! vs. Raw,PS2,Fighting,THQ,Yuke's
